,created_utc,id,author,num_comments,month,Ratio_Of_Gaps,Number_of_Gaps,Sentiment_Of_Post,Sentiment_Of_Comments,Score_Of_Comments,Score
109,2018-03-10 19:54:50,83hj23,jdrodrig,8,3,1.0,8,-0.476,0.0,neutral,Low
110,2018-03-11 08:17:18,83ljmj,EragusTrenzalore,18,3,1.1666666666666667,13,0.3182,0.0,highly_positive,Low
111,2018-03-11 16:51:56,83nvg6,RustyShackleford_64,5,3,0.0,0,0.0,0.0,neutral,neutral
112,2018-03-12 10:46:51,83u24v,NiroXu,9,3,0.5,3,0.3818,0.0,neutral,Low
113,2018-03-12 22:17:34,83z3k4,somerider159,2,3,0.3333333333333333,4,-0.8201,0.0,neutral,Low
114,2018-03-13 14:17:59,844h46,justavault,16,3,0.0,3,0.9667,1.0,positive,Low
115,2018-03-13 15:02:24,844t4x,younsomoom,11,3,1.375,19,0.1674,1.0,highly_positive,High
116,2018-03-13 23:05:49,848lzz,cj4962,5,3,0.0,0,-0.533,0.0,neutral,Low
117,2018-03-14 12:28:55,84czfx,EragusTrenzalore,6,3,1.1666666666666667,13,0.0,0.0,positive,Low
118,2018-03-15 06:01:36,84kaev,younsomoom,15,3,1.375,19,-0.5986,1.0,positive,Low
119,2018-03-17 11:51:46,8539mh,EragusTrenzalore,2,3,1.1666666666666667,13,0.0,1.0,positive,Low
120,2018-03-17 21:35:25,856v5g,jdrodrig,1,3,1.0,8,0.755,0.0,neutral,Low
121,2018-03-20 04:46:59,85q4zo,EragusTrenzalore,8,3,1.1666666666666667,13,0.5514,0.0,neutral,Low
122,2018-03-20 23:26:53,85xh9j,EragusTrenzalore,0,3,1.1666666666666667,13,0.2869,0.0,neutral,Low
123,2018-03-20 23:35:00,85xji6,Styxie,17,3,0.0,0,0.8356,0.0,neutral,Low
124,2018-03-21 17:40:41,8642ah,A4orce84,2,3,0.25,5,0.7622,0.0,neutral,Low
125,2018-03-21 23:12:36,866udc,jdrodrig,28,3,1.0,8,0.7677,1.0,positive,Low
126,2018-03-22 05:16:03,8694ag,samtherat6,4,3,0.0,2,0.9542,1.0,positive,Low
127,2018-03-22 08:28:18,869yf6,younsomoom,3,3,1.375,19,-0.9215,1.0,positive,neutral
128,2018-03-24 02:40:50,86qaqh,younsomoom,2,3,1.375,19,0.0129,0.0,positive,Low
129,2018-03-24 07:12:39,86rju6,DixiePixies,0,3,1.0,2,-0.5754,0.0,neutral,Low
130,2018-03-25 04:20:14,86yk2e,EragusTrenzalore,3,3,1.1666666666666667,13,0.0,0.0,highly_positive,Low
131,2018-03-27 08:07:56,87gow6,bennyj22,12,3,1.0,2,0.5764,0.0,positive,Low
132,2018-03-27 19:55:16,87lks9,DixiePixies,0,3,1.0,2,0.6703,0.0,neutral,Low
133,2018-03-27 21:12:28,87m82p,bennyj22,1,3,1.0,2,0.0,0.0,neutral,Low
134,2018-03-28 15:17:47,87spz9,izdryk,2,3,0.0,1,-0.3664,1.0,positive,Low
135,2018-03-28 23:07:43,87wgld,tharussianphil,1,3,0.0,1,-0.6631,0.0,neutral,Low
136,2018-03-29 17:54:25,883dzo,SmileGuyMD,3,3,3.0,4,0.8422,1.0,positive,Low
137,2018-03-31 15:07:18,88j7dp,m_djallo,14,3,0.0,0,0.4288,0.0,positive,neutral
138,2018-04-01 10:51:31,88q11o,AutoModerator,102,4,0.0,8,0.9611,0.0,neutral,High
139,2018-04-01 13:05:40,88qnhh,heartscrew,3,4,0.0,2,0.5023,1.0,positive,Low
140,2018-04-01 14:20:28,88r3io,WHOwallpapers,10,4,0.0,0,0.977,1.0,positive,Low
141,2018-04-02 11:02:52,88yh1m,tunkor,1,4,0.42857142857142855,10,0.1367,0.0,neutral,Low
142,2018-04-02 17:14:07,891jbq,binaryjigsaw,2,4,0.0,1,0.0926,0.0,neutral,Low
143,2018-04-02 19:40:35,8943px,Bill__Clinton69,0,4,0.0,3,-0.2142,0.0,neutral,Low
144,2018-04-02 21:15:57,895emj,lucellent,1,4,2.0,6,0.7876,0.0,neutral,Low
145,2018-04-03 01:32:27,8978o5,SmileGuyMD,1,4,3.0,4,0.128,0.0,neutral,Low
146,2018-04-03 12:13:10,89d2u0,DFGBOY,3,4,1.0,4,0.909,0.0,neutral,Low
147,2018-04-03 18:13:13,89gpxj,justavault,7,4,0.0,3,0.7041,0.0,neutral,Low
148,2018-04-03 19:38:46,89hniu,SmileGuyMD,4,4,3.0,4,0.25,0.0,highly_positive,Low
149,2018-04-03 20:10:33,89i06u,Mathcmput,0,4,0.0,1,0.0,0.0,neutral,Low
150,2018-04-03 23:44:05,89k1jv,ppaco1,0,4,6.0,7,0.6748,0.0,neutral,Low
151,2018-04-04 13:07:07,89pa5j,roushrsh,10,4,0.3333333333333333,4,-0.4767,0.0,neutral,Low
152,2018-04-04 14:08:03,89prer,itsdacj,4,4,0.0,0,0.351,1.0,positive,neutral
153,2018-04-05 05:41:06,89x7cb,Wintersoldierkb9,2,4,0.5,6,0.2263,0.0,neutral,neutral
154,2018-04-05 09:44:37,89ycqv,EragusTrenzalore,1,4,1.1666666666666667,13,0.7149,1.0,positive,neutral
155,2018-04-06 09:59:53,8a8a1c,roushrsh,7,4,0.3333333333333333,4,0.3094,0.0,neutral,Low
156,2018-04-06 18:49:26,8ac21i,Gamester997,2,4,0.3333333333333333,4,-0.5362,1.0,positive,Low
157,2018-04-07 09:08:18,8agxw6,jaju123,3,4,0.0,1,-0.6482,0.0,neutral,High
158,2018-04-08 03:04:16,8anb2n,ppaco1,9,4,6.0,7,0.4767,0.0,neutral,Low
159,2018-04-08 03:42:45,8anijr,Wintersoldierkb9,6,4,0.5,6,0.3818,1.0,positive,Low
